source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe
2701852566002029440,327.16840173876625,8.604972699829325,11.401318319151049,0.015511508,27.264487449947467,0.015783409,-80.02497902021564,0.016775597,30.490011,0.2590607,10.692815,11.134319,10.084118,1.0527817
3787238634752407168,172.2216895924406,-3.174881174899484,13.41189832247413,0.017945442,26.148883924396586,0.02083926,-162.7995842685021,0.016754756,8.457246,1.6218077,13.594346,14.819907,12.4986315,1.0739894
975832723024828800,114.58577909908084,48.33569434705789,11.82291877380982,0.018525649,-105.61666190087344,0.017271671,-170.4031064995093,0.013137758,64.16936,1.1569479,12.89333,13.853953,11.922429,1.170455
1529805404523690368,196.6914694574625,45.47048875537569,13.335474827111582,0.021632627,67.88425313519484,0.01516852,-0.4776930551517587,0.017431602,-33.26755,3.256955,14.715567,15.9641,13.607508,1.1348782
5724071071941406464,126.43973442015812,-12.21331884194496,12.950358049034213,0.014646887,42.55865827814935,0.014979166,-67.17088532293396,0.015362485,-15.150953,2.1730187,13.521977,14.677627,12.454853,1.0936977
5038817840251308288,23.317199266738953,-24.178664853360644,51.9066670617371,0.02141085,272.58585477452147,0.023545735,-158.6727460585307,0.01025296,2.3634121,0.11859594,6.7783146,7.1519737,6.231178,0.91304463
3485971555389836160,181.3068930575872,-28.719055950511297,27.452974083977,0.021744724,202.0660718128723,0.022301072,-410.7711132669773,0.012865409,10.813724,0.12824225,7.6229215,7.9471884,7.123694,0.94204414
481797856332432640,88.71481590839304,68.57891252333529,24.29698278670449,0.018199524,-107.11388118039764,0.0090859085,7.691174357674317,0.016970351,-8.5365505,0.64733505,13.774002,15.350262,12.560129,1.2916038
3291818727004830464,76.73056267087883,10.996613415517102,10.588137340190483,0.01731504,14.944236438978017,0.017902246,-61.27607612794935,0.013445031,15.400299,0.4465134,10.763278,11.2192335,10.138306,0.99183846
6577515128451041408,323.93578731274505,-44.70192762785108,14.98747855989497,0.023728445,206.39076700928192,0.01947239,-179.63196672558044,0.01808742,14.990164,2.1587982,14.546989,15.850953,13.423328,1.0852265
2087275426357426048,297.10032015414527,50.35339632780765,15.85337914640313,0.0108811725,28.956603900665563,0.011854862,-49.9575889230283,0.015114663,-2.7914577,1.4147624,13.633597,14.887159,12.52396,1.0736449
6652254362633832192,272.7072303200102,-55.45190732431418,11.987494180788149,0.024619482,-21.451445482139793,0.023403874,-194.0816627255867,0.019910257,-34.68755,4.111905,14.857011,16.394222,13.651465,1.0699937
2135026116838616832,294.8099349318697,49.52315187430132,15.992001850048782,0.015676938,62.81499993257157,0.018734846,61.63597605352898,0.021226339,-2.4727135,5.463379,14.275564,15.717409,13.075136,1.1740055
6886545687620293888,312.28566860179365,-14.781588951140316,11.382878815725451,0.02963345,24.41582064817078,0.02905925,13.226693878320855,0.02280102,-2.5053296,2.849705,14.821181,16.16006,13.682148,1.1276358
1714926603879120896,212.4721646065239,78.1061221763184,17.263311581418407,0.010642321,-123.01980943586872,0.012343442,-58.16541586187765,0.012694791,-70.506096,0.62977123,13.230743,14.567438,12.0893135,1.2396337
3426010135446427008,94.64513005583927,25.0501532719628,28.963661616257316,0.025482604,11.96488232756052,0.029326817,-324.55573172335215,0.022533981,35.424084,1.2355745,12.912776,14.486492,11.692729,1.2270259
382137499617300992,7.076466036461448,42.23307993969561,12.419987967250949,0.015373989,-86.44856450388086,0.012334881,-97.93478030516692,0.014634747,-20.530207,0.84017783,13.013918,14.074117,11.993077,1.105707
6321098468414040064,230.000800324411,-8.662598603601145,19.77659048335772,0.029647302,98.95744735927413,0.030330213,-200.81158010573628,0.025685046,31.490273,0.12212645,7.3986545,7.668207,6.958467,1.1170571
4796501970163945856,82.7470814752103,-50.01242924069843,20.51951496504531,0.01289423,-88.61921762113074,0.014377891,-74.41472097908267,0.019003972,-6.655111,0.7109925,12.865446,13.961686,11.827321,1.1762578
4630728155368146816,26.09796178558367,-80.57386954477755,13.650120528910332,0.010083457,190.09284565017472,0.0125968745,50.16673611342752,0.0112794535,15.9561405,0.18327989,9.534022,9.918441,8.983804,0.9428734
2932900301628199936,105.06668207341858,-19.077075111227774,10.871766935742048,0.01143479,9.385505767585435,0.009533191,9.875370301114554,0.011346796,13.967042,0.22829087,10.587599,11.000909,10.006097,0.9036297
2436304122594027520,356.4082620704353,-7.897990950914382,15.828954579530368,0.028760774,321.94320333557494,0.039528776,59.45725934748873,0.024653828,46.77373,5.3399734,14.867439,16.40639,13.661157,1.0019644
6134062327827129344,194.17915201744592,-47.061767956692265,11.65241392781659,0.0142605165,-145.7779892243335,0.014048278,-96.99486276686144,0.010587215,-31.40315,0.6719496,12.498305,13.317433,11.6138735,1.0661014
1105167897843849984,93.46618453981849,67.25158503558177,13.306732628038688,0.016457433,7.670711591822015,0.01304698,-11.84774027415078,0.014482902,-20.762426,1.6288725,14.032591,15.2857,12.923929,1.0937
507706748333125504,33.89917048147787,61.3677785965418,25.56614565614801,0.021435289,-33.03924233421458,0.018343395,-126.99172401127822,0.024916051,-2.3037305,1.3500049,14.2541,15.924406,13.01517,1.1827807
4415339565562103680,230.7793369716087,-1.3618669640216272,11.869120036799458,0.036353625,56.62363316915838,0.03484238,-138.89883741541615,0.030490423,-13.187003,6.0741053,14.970457,16.409222,13.798356,1.0940988
562488231554621184,30.904782034988344,79.13969120284304,11.162447913090276,0.013863317,-52.42015470171817,0.014103212,121.40824765487288,0.015839154,-15.858839,0.18824475,9.128865,9.447813,8.640824,1.0406288
1552715859592430464,200.93249278939632,47.572174905822614,12.993295844213431,0.013569278,-118.69336213626036,0.010264293,48.59900908654293,0.013006972,-14.002111,0.4417238,12.628506,13.585466,11.659899,1.2201424
5298130167248117248,136.4839646441147,-61.76165827394742,15.313674911569413,0.014128703,-205.21621698996827,0.017791066,181.1594062123055,0.016858077,77.17763,1.2994524,12.885919,13.972436,11.84375,1.0987638
2544759296723186944,3.212524826001459,-1.1980764913333417,17.741109335818386,0.02094553,169.6710237603386,0.026741084,119.95103099693162,0.019954303,38.99324,1.0724603,13.667638,15.021044,12.51844,1.2632049
